Age,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
0,975814,964295,953715,945505,937997,931084,924739,918939,913527,908432,903890,900002,895897,890893,885260,879556,874242,868518,861663,853961,845730,837353,828796,819925,810825,801426,791727,782112,772909,764045,755220,746170,737419,729478,722167,715164,708121,701347,695187,689488,684048,678617,673252,668071,663004,657963,652830
1,996783,967152,955916,945502,937430,930049,923255,917021,911325,906009,901005,896547,892735,888706,883784,878234,872612,867375,861729,854959,847347,839209,830924,822459,813680,804673,795367,785763,776240,767125,758346,749604,740637,731967,724099,716857,709919,702941,696229,690126,684480,679090,673709,668393,663259,658237,653241
2,1030819,989585,960419,949248,938923,930920,923603,916869,910690,905045,899778,894820,890404,886629,882639,877761,872259,866686,861495,855897,849182,841631,833557,825337,816939,808227,799289,790054,780522,771070,762023,753310,744633,735732,727126,719317,712129,705243,698317,691655,685598,679995,674646,669305,664029,658934,653950
3,1071401,1024275,983558,954566,943450,933200,925256,917993,911309,905177,899575,894348,889428,885047,881303,877345,872504,867042,861510,856357,850799,844131,836631,828611,820446,812104,803449,794570,785394,775924,766533,757544,748887,740265,731421,722870,715110,707968,701128,694246,687626,681608,676041,670727,665420,660178,655115
4,1123375,1065231,1018591,978107,949273,938206,928027,920137,912923,906286,900196,894634,889444,884559,880210,876494,872565,867758,862333,856837,851719,846197,839572,832118,824147,816032,807740,799136,790310,781189,771774,762438,753501,744894,736322,727529,719027,711312,704211,697411,690569,683987,678003,672469,667185,661909,656697
5,1104938,1117437,1059862,1013469,973194,944502,933478,923363,915521,908352,901756,895704,890177,885019,880165,875845,872153,868250,863472,858080,852616,847530,842040,835452,828040,820112,812041,803794,795236,786457,777384,768018,758731,749841,741278,732751,724003,715545,707870,700806,694041,687234,680686,674733,669228,663971,658722
6,1082259,1099544,1112258,1054967,1008801,968716,940154,929169,919114,911315,904187,897628,891610,886115,880987,876161,871866,868198,864318,859566,854204,848769,843710,838249,831695,824320,816432,808401,800194,791678,782941,773912,764590,755347,746500,737977,729490,720784,712365,704726,697696,690963,684187,677670,671745,666266,661034
7,1079585,1077352,1094816,1107497,1050470,1004513,964604,936161,925211,915213,907454,900363,893839,887852,882386,877286,872486,868214,864567,860708,855980,850645,845237,840203,834768,828245,820904,813052,805057,796887,788409,779711,770721,761440,752237,743429,734943,726493,717824,709441,701835,694836,688132,681385,674896,668996,663541
8,1084491,1075010,1072986,1090405,1103057,1046278,1000517,960772,932440,921522,911579,903857,896801,890308,884351,878912,873837,869062,864811,861183,857343,852638,847328,841944,836933,831523,825028,817719,809900,801939,793803,785360,776698,767745,758502,749336,740564,732112,723696,715062,706713,699137,692167,685490,678770,672306,666430
9,1083493,1080141,1070783,1068794,1086171,1098796,1042255,996684,957096,928871,917983,908094,900408,893384,886922,880993,875579,870528,865776,861545,857935,854113,849430,844143,838784,833795,828408,821940,814661,806874,798945,790842,782432,773805,764887,755680,746550,737812,729393,721009,712409,704092,696545,689602,682951,676257,669818
